male.ID,ng.g,age.sample,mrank_birth,unit.size.cont,pat.sibs.sample,cum.rain,min.Temp,max.Temp,year,sample.date,month.sample,year.sample,mrank_prop
ZOR,576,4.5,NA,7,4,220.2,7.68,15.18,2011,10/4/11,10,2011,NA
OAS,244.83,4.1,NA,7,5,220.2,7.68,15.18,2011,10/4/11,10,2011,0.333333333
SEA,394,3.9,NA,5,1,210.8,7.68,15.41,2011,10/5/11,10,2011,0.5
DON,379.76,5.1,NA,5,1,210.8,7.68,15.41,2011,10/5/11,10,2011,1
TEC,340.84,4.1,NA,8,2,210.8,7.68,15.41,2011,10/5/11,10,2011,0.857142857
DIL,735.18,0.9,0,4,2,151,7.54,15.91,2011,10/10/11,10,2011,0.5
CUE,500.75,1,1,5,4,148.6,7.49,15.94,2011,10/11/11,10,2011,0.857142857
ERI,296.7,1.7,0,4,4,148.6,7.49,15.94,2011,10/11/11,10,2011,0
ISA,379.65,1.3,0.5,3,4,148.6,7.49,15.94,2011,10/11/11,10,2011,0.428571429
DON,348,5.1,NA,5,1,138.6,7.45,16.01,2011,10/12/11,10,2011,1
SEA,201.44,4,NA,5,1,138.6,7.45,16.01,2011,10/12/11,10,2011,0.5
VEX,206.4,3.9,NA,7,2,82.4,7.38,16.19,2011,10/17/11,10,2011,0.666666667
SEA,303.13,4,NA,5,1,77.4,7.33,16.26,2011,10/18/11,10,2011,0.5
DON,157.97,5.1,NA,5,1,77.4,7.33,16.26,2011,10/18/11,10,2011,1
CLY,244.91,1.6,0.333333333,2,4,56.5,7.24,16.51,2011,10/22/11,10,2011,0.714285714
DAL,192.68,2.5,0.25,4,1,56.5,7.24,16.51,2011,10/22/11,10,2011,0
TEC,156.63,4.1,NA,8,2,46.5,7.18,16.42,2011,10/24/11,10,2011,0.857142857
VEX,209.32,3.9,NA,7,2,46.5,7.18,16.42,2011,10/24/11,10,2011,0.666666667
DON,226.14,5.1,NA,5,1,26.3,7.14,16.39,2011,10/25/11,10,2011,1
SEA,180.69,4,NA,5,1,26.3,7.14,16.39,2011,10/25/11,10,2011,0.5
ZIR,186.41,1.9,0.4,8,3,10.8,7.1,16.41,2011,10/26/11,10,2011,0.833333333
ZAI,202.04,2.2,0,8,3,10.8,7.1,16.41,2011,10/26/11,10,2011,0.333333333
XAV,139.45,2.8,NA,7,4,10.8,7.1,16.41,2011,10/26/11,10,2011,0.5
TEC,205.06,4.2,NA,8,2,9.9,7.08,16.51,2011,10/27/11,10,2011,0.857142857
OAS,131.57,4.1,NA,7,5,16.9,7.09,16.52,2011,10/31/11,10,2011,0.333333333
DUD,127.94,3.2,NA,7,5,37.9,7.1,16.43,2011,11/1/11,11,2011,1
TAU,196.71,4.8,0.5,7,2,8.5,7.08,16.48,2011,10/29/11,10,2011,0.714285714
BAG,161.17,3.1,NA,10,3,57.8,7.08,16.22,2011,11/3/11,11,2011,0.777777778
DIL,391.2,1,0,4,2,56.3,7.04,16.16,2011,11/4/11,11,2011,0.5
TAU,215.4,4.8,0.5,7,2,56.3,7.04,16.16,2011,11/4/11,11,2011,0.714285714
OAS,740,4.2,NA,7,3,56,7.02,16.01,2011,11/6/11,11,2011,0.166666667
