male_ids,obs_date,month,year,unit,obs_start,obs_end,mom.id,dispersal.date,dispersed,dod,age.died,age,ysib,no.of.peers.1,mom.presence,older_peers,younger_peers,mrank_prop,unit.size.cont
AAD,9/18/19,9,2019,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0,-1,0,Present,0,0,0.8,6
AAD,10/18/19,10,2019,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.08,-1,0,Present,0,0,0.8,6
AAD,11/18/19,11,2019,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.17,-1,0,Present,0,0,0.8,6
AAD,12/18/19,12,2019,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.25,-1,0,Present,0,0,0.8,6
AAD,1/18/20,1,2020,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.33,-1,0,Present,0,0,0.8,6
AAD,2/18/20,2,2020,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.42,-1,0,Present,0,0,0.8,6
AAD,3/18/20,3,2020,A,9/18/19,3/30/20,ANT,NA,0,NA,NA,0.5,-1,0,Present,0,0,0.8,6
AGA,12/28/11,12,2011,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0,-1,0,Present,0,0,1,3
AGA,1/28/12,1,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.08,-1,0,Present,0,0,1,3
AGA,2/28/12,2,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.17,-1,0,Present,0,0,1,3
AGA,3/28/12,3,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.25,-1,0,Present,0,0,1,3
AGA,4/28/12,4,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.33,-1,0,Present,0,0,1,3
AGA,5/28/12,5,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.42,-1,0,Present,0,0,1,3
AGA,6/28/12,6,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.5,-1,0,Present,0,0,1,3
AGA,7/28/12,7,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.58,-1,0,Present,0,0,1,3
AGA,8/28/12,8,2012,A,12/28/11,12/12/19,ANI,12/12/19,0,NA,NA,0.67,-1,0,Present,0,0,1,3
